path,category_guess,lines,includes,gl_calls,gl_raw_refs,gl_call_exprs,gl_known_false_refs,gGL,LLGL,LLRender,LLPipeline,LLDrawPool,LLRenderTarget,LLImageGL,LLViewerTexture,LLViewerWindow
indra/newview/llfetchedgltfmaterial.h,assets.texture,89,3,0,0,0,0,0,6,0,0,0,0,0,1,0
indra/newview/llviewercontrol.cpp,render.pipeline,1273,56,0,0,0,0,0,5,0,28,3,0,2,0,0
indra/newview/llappviewer.cpp,render.pipeline,6744,198,0,0,0,0,0,5,3,6,0,4,3,0,3
indra/newview/llsettingsvo.cpp,render.pipeline,1670,30,0,0,0,0,0,5,1,1,4,0,0,0,0
indra/newview/lltexturectrl.cpp,assets.texture,2523,47,0,0,0,0,0,5,0,0,0,0,0,5,0
indra/newview/gltf/primitive.cpp,render.opengl_touching,813,6,0,0,0,0,0,5,10,0,0,0,0,0,0
indra/newview/tests/llworldmap_test.cpp,render.opengl_touching,522,10,0,0,0,0,0,5,0,0,0,0,0,0,0
indra/newview/gltf/animation.cpp,render.opengl_touching,495,5,0,0,0,0,0,5,0,0,0,0,0,0,0
indra/newview/llmaterialeditor.h,render.opengl_touching,326,4,0,0,0,0,0,5,0,0,0,0,0,0,0
indra/newview/llpbrterrainfeatures.cpp,render.opengl_touching,199,6,0,0,0,0,0,5,0,0,0,0,0,0,0
indra/newview/lllocalbitmaps.h,render.opengl_touching,161,4,0,0,0,0,0,5,0,0,0,0,0,0,0
indra/llprimitive/llgltfmaterial_templates.h,render.opengl_touching,143,1,0,0,0,0,0,5,0,0,0,0,0,0,0
indra/newview/llgltffolderitem.h,render.opengl_touching,134,2,0,0,0,0,0,5,0,0,0,0,0,0,0
indra/newview/llvoavatarself.cpp,render.pipeline,3277,40,0,0,0,0,0,4,0,1,1,0,1,10,0
indra/newview/llvoavatarself.h,world.avatar,425,5,0,0,0,0,0,4,0,0,0,0,0,7,0
indra/newview/llvlcomposition.h,render.draw_pool,170,7,0,0,0,0,0,4,0,0,2,0,0,3,0
indra/newview/llenvironment.cpp,render.opengl_touching,3637,27,0,0,0,0,0,4,0,0,0,0,0,0,0
indra/newview/llviewermenufile.cpp,render.opengl_touching,1517,50,0,0,0,0,0,4,0,0,0,0,0,0,0
indra/newview/tests/llworldmipmap_test.cpp,render.opengl_touching,166,5,0,0,0,0,0,4,0,0,0,0,0,0,0
indra/llappearance/lllocaltextureobject.h,assets.texture,85,2,0,0,0,0,0,4,0,0,0,0,0,0,0
indra/newview/lltextureview.h,assets.texture,80,1,0,0,0,0,0,4,0,0,0,0,0,0,0
indra/newview/llheroprobemanager.h,render.pipeline,151,6,0,0,0,0,0,3,0,1,0,2,0,0,0
indra/newview/lldynamictexture.h,assets.texture,120,5,0,0,0,0,0,3,0,0,0,9,0,3,0
indra/llrender/llrender2dutils.h,render.legacy_low_level,183,5,0,0,0,0,0,3,0,0,0,3,0,0,0
indra/newview/lldrawpoolbump.h,render.draw_pool,165,5,0,0,0,0,0,3,0,0,4,1,0,4,0
indra/newview/lldrawpoolwlsky.h,render.draw_pool,77,1,0,0,0,0,0,3,0,0,6,0,0,3,0
indra/newview/llworldmap.cpp,assets.texture,672,10,0,0,0,0,0,3,0,0,0,0,0,2,0
indra/llrender/llpostprocess.h,render.legacy_low_level,273,7,0,0,0,0,0,3,0,0,0,0,6,0,0
indra/newview/lltoolcomp.cpp,render.opengl_touching,909,26,0,0,0,0,0,3,0,0,0,0,0,0,0
indra/newview/llenvironment.h,render.opengl_touching,497,10,0,0,0,0,0,3,0,0,0,0,0,0,0
indra/newview/llvocache.h,render.opengl_touching,336,7,0,0,0,0,0,3,0,0,0,0,0,0,0
indra/newview/llfloatergltfasseteditor.h,ui,110,2,0,0,0,0,0,3,0,0,0,0,0,0,0
indra/llrender/lltexturemanagerbridge.h,render.legacy_low_level,48,2,0,0,0,0,0,3,0,0,0,0,0,0,0
indra/newview/tests/llglslshader_stub.cpp,render.opengl_touching,40,1,0,0,0,0,0,3,0,0,0,0,0,0,0
indra/newview/llviewerobject.h,render.pipeline,1069,16,0,0,0,0,0,2,2,3,0,0,0,16,0
indra/newview/llvowlsky.cpp,render.pipeline,582,9,0,0,0,0,0,2,3,3,9,0,0,0,0
indra/newview/llvoavatar.h,render.pipeline,1307,24,0,0,0,0,0,2,0,2,0,1,0,8,0
indra/newview/lldrawpool.h,render.pipeline,488,4,0,0,0,0,0,2,0,2,12,0,0,7,0
